Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/10/21, 00:00:00, 2137.25, 2139.75, 2124.50, 2136.00, 1409837, 2968897, 0, 0
2016/10/24, 00:00:00, 2138.25, 2150.25, 2136.00, 2145.50, 1010790, 2984151, 0, 0
2016/10/25, 00:00:00, 2146.00, 2151.00, 2136.50, 2139.25, 1198210, 2979531, 0, 0
2016/10/26, 00:00:00, 2136.50, 2141.25, 2126.00, 2135.25, 1548442, 2976108, 0, 0
2016/10/27, 00:00:00, 2135.00, 2145.00, 2123.75, 2124.75, 1795356, 2985869, 0, 0
2016/10/28, 00:00:00, 2128.50, 2136.50, 2113.75, 2125.00, 2391182, 2969629, 0, 0
2016/10/31, 00:00:00, 2121.25, 2131.75, 2116.00, 2121.25, 1371713, 2977889, 0, 0
2016/11/1, 00:00:00, 2124.75, 2130.75, 2092.25, 2105.00, 2257062, 2959958, 0, 0
2016/11/2, 00:00:00, 2103.50, 2107.75, 2088.50, 2093.50, 2013595, 2930594, 0, 0
2016/11/3, 00:00:00, 2089.50, 2100.00, 2081.00, 2084.75, 1795490, 2951457, 0, 0
2016/11/4, 00:00:00, 2085.25, 2095.50, 2080.00, 2081.25, 2079129, 2916104, 0, 0
2016/11/7, 00:00:00, 2107.25, 2132.00, 2104.00, 2130.25, 1761750, 2903060, 0, 0
2016/11/8, 00:00:00, 2130.25, 2144.50, 2120.25, 2136.75, 1751369, 2896379, 0, 0
2016/11/9, 00:00:00, 2139.25, 2168.00, 2029.75, 2161.50, 5280237, 2934892, 0, 0
2016/11/10, 00:00:00, 2160.75, 2181.75, 2149.00, 2168.50, 3132340, 2927509, 0, 0
2016/11/11, 00:00:00, 2166.25, 2171.75, 2149.75, 2162.75, 1883989, 2862982, 0, 0
2016/11/14, 00:00:00, 2165.75, 2175.75, 2153.50, 2161.75, 1815339, 2858070, 0, 0
2016/11/15, 00:00:00, 2162.25, 2181.00, 2159.75, 2180.50, 1443589, 2867069, 0, 0
2016/11/16, 00:00:00, 2180.25, 2186.25, 2170.00, 2174.00, 1327887, 2892791, 0, 0
2016/11/17, 00:00:00, 2173.75, 2186.75, 2173.00, 2185.50, 1350348, 2918293, 0, 0
2016/11/18, 00:00:00, 2185.25, 2188.75, 2177.75, 2182.00, 1280719, 2932291, 0, 0
2016/11/21, 00:00:00, 2180.75, 2197.75, 2179.75, 2194.25, 1233201, 2972343, 0, 0
2016/11/22, 00:00:00, 2194.50, 2204.25, 2193.00, 2201.50, 1257560, 2975324, 0, 0
