Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/4/29, 00:00:00, 2055.00, 2057.25, 2027.00, 2040.25, 2419757, 2773168, 0, 0
2016/5/2, 00:00:00, 2042.00, 2058.75, 2036.75, 2055.50, 1306173, 2775854, 0, 0
2016/5/3, 00:00:00, 2056.75, 2057.50, 2029.25, 2038.25, 1827577, 2776044, 0, 0
2016/5/4, 00:00:00, 2038.75, 2041.50, 2020.25, 2028.25, 1557981, 2793137, 0, 0
2016/5/5, 00:00:00, 2027.75, 2041.25, 2020.75, 2025.25, 1433289, 2793851, 0, 0
2016/5/6, 00:00:00, 2024.75, 2035.75, 2011.75, 2034.00, 1813432, 2784714, 0, 0
2016/5/9, 00:00:00, 2034.25, 2041.00, 2029.50, 2035.50, 1370423, 2786287, 0, 0
2016/5/10, 00:00:00, 2035.25, 2061.00, 2029.25, 2058.75, 1416966, 2818389, 0, 0
2016/5/11, 00:00:00, 2058.50, 2060.00, 2038.75, 2039.25, 1471852, 2791285, 0, 0
2016/5/12, 00:00:00, 2040.25, 2054.00, 2029.75, 2040.00, 1799103, 2788453, 0, 0
2016/5/13, 00:00:00, 2040.50, 2044.75, 2019.75, 2024.75, 1878403, 2795106, 0, 0
2016/5/16, 00:00:00, 2022.50, 2049.75, 2016.25, 2044.00, 1421736, 2807176, 0, 0
2016/5/17, 00:00:00, 2043.25, 2050.75, 2018.00, 2024.75, 1988181, 2803597, 0, 0
2016/5/18, 00:00:00, 2025.00, 2039.00, 2012.00, 2022.75, 2085972, 2825083, 0, 0
2016/5/19, 00:00:00, 2024.75, 2026.00, 2003.25, 2020.00, 2055973, 2849694, 0, 0
2016/5/20, 00:00:00, 2020.00, 2036.75, 2018.50, 2031.25, 1583721, 2883517, 0, 0
2016/5/23, 00:00:00, 2034.50, 2037.25, 2024.75, 2026.50, 1183296, 2890979, 0, 0
2016/5/24, 00:00:00, 2026.25, 2058.50, 2022.50, 2056.25, 1603195, 2921127, 0, 0
2016/5/25, 00:00:00, 2056.25, 2073.75, 2054.75, 2068.50, 1442270, 2921940, 0, 0
2016/5/26, 00:00:00, 2070.00, 2073.00, 2063.75, 2071.00, 968439, 2915095, 0, 0
2016/5/27, 00:00:00, 2071.75, 2080.00, 2069.25, 2078.50, 1035175, 2923990, 0, 0
2016/5/31, 00:00:00, 2081.25, 2085.00, 2067.25, 2076.25, 1631254, 2920359, 0, 0
2016/6/1, 00:00:00, 2075.25, 2080.50, 2064.50, 2079.25, 1317565, 2929830, 0, 0
2016/6/2, 00:00:00, 2078.00, 2086.00, 2068.00, 2085.00, 1299962, 2962011, 0, 0
2016/6/3, 00:00:00, 2084.75, 2087.25, 2064.00, 2079.00, 1746160, 2982125, 0, 0
2016/6/6, 00:00:00, 2078.75, 2093.50, 2075.25, 2089.50, 1272974, 2969778, 0, 0
2016/6/7, 00:00:00, 2089.50, 2099.25, 2087.75, 2091.50, 1125951, 2946364, 0, 0
2016/6/8, 00:00:00, 2091.50, 2101.00, 2087.75, 2099.25, 1308451, 2850221, 0, 0
2016/6/9, 00:00:00, 2099.00, 2100.00, 2087.75, 2095.75, 785978, 776981, 0, 0
2016/6/10, 00:00:00, 2095.00, 2095.25, 2070.00, 2077.75, 1799239, 1213016, 0, 0
2016/6/13, 00:00:00, 2071.50, 2079.75, 2057.00, 2060.25, 2515271, 1865658, 0, 0
2016/6/14, 00:00:00, 2057.75, 2063.25, 2045.25, 2056.50, 2770212, 2419029, 0, 0
2016/6/15, 00:00:00, 2055.00, 2070.00, 2050.25, 2054.00, 1917677, 2680115, 0, 0
2016/6/16, 00:00:00, 2053.00, 2062.00, 2031.25, 2061.00, 2446637, 2759833, 0, 0
2016/6/17, 00:00:00, 2059.25, 2065.25, 2043.75, 2049.50, 1833560, 2774441, 0, 0
2016/6/20, 00:00:00, 2061.50, 2083.00, 2060.75, 2064.75, 1598465, 2781532, 0, 0
2016/6/21, 00:00:00, 2069.50, 2076.50, 2064.50, 2071.00, 1400709, 2769327, 0, 0
2016/6/22, 00:00:00, 2069.75, 2081.75, 2065.75, 2067.25, 1419838, 2779028, 0, 0
2016/6/23, 00:00:00, 2073.50, 2103.75, 2073.50, 2096.25, 1314510, 2767191, 0, 0
2016/6/24, 00:00:00, 2106.25, 2110.00, 1989.50, 2009.00, 4174598, 2936291, 0, 0
2016/6/27, 00:00:00, 2004.25, 2013.00, 1972.00, 1975.50, 3021015, 2971282, 0, 0
2016/6/28, 00:00:00, 1973.00, 2020.25, 1972.75, 2019.00, 2285755, 2938555, 0, 0
2016/6/29, 00:00:00, 2018.75, 2065.25, 2013.25, 2057.25, 2065151, 3014342, 0, 0
2016/6/30, 00:00:00, 2062.75, 2081.75, 2047.00, 2080.75, 2301226, 2999878, 0, 0
2016/7/1, 00:00:00, 2077.00, 2091.25, 2072.00, 2086.75, 1665376, 2964059, 0, 0
2016/7/5, 00:00:00, 2090.25, 2095.25, 2063.00, 2073.25, 1862935, 2990285, 0, 0
